City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,<tr>,<td>,</td>,</tr>,Column1
0,jacareacanga,0,BR,1528902000,62,-6.22,-57.76,89.6,6.93,<tr>,<td>,</td>,</tr>,<tr><td>City_ID</td><td>City</td><td>Cloudiness</td><td>Country</td><td>Date</td><td>Humidity</td><td>Lat</td><td>Lng</td><td>Max Temp</td><td>Wind Speed</td></tr>
1,kaitangata,100,NZ,1528905304,94,-46.28,169.85,42.61,5.64,<tr>,<td>,</td>,</tr>,<tr><td>0</td><td>jacareacanga</td><td>0</td><td>BR</td><td>1528902000</td><td>62</td><td>-6.22</td><td>-57.76</td><td>89.6</td><td>6.93</td></tr>
2,goulburn,20,AU,1528905078,91,-34.75,149.72,44.32,10.11,<tr>,<td>,</td>,</tr>,<tr><td>1</td><td>kaitangata</td><td>100</td><td>NZ</td><td>1528905304</td><td>94</td><td>-46.28</td><td>169.85</td><td>42.61</td><td>5.64</td></tr>
3,lata,76,IN,1528905305,89,30.78,78.62,59.89,0.94,<tr>,<td>,</td>,</tr>,<tr><td>2</td><td>goulburn</td><td>20</td><td>AU</td><td>1528905078</td><td>91</td><td>-34.75</td><td>149.72</td><td>44.32</td><td>10.11</td></tr>
4,chokurdakh,0,RU,1528905306,88,70.62,147.9,32.17,2.95,<tr>,<td>,</td>,</tr>,<tr><td>3</td><td>lata</td><td>76</td><td>IN</td><td>1528905305</td><td>89</td><td>30.78</td><td>78.62</td><td>59.89</td><td>0.94</td></tr>
5,martyush,92,RU,1528905306,94,56.4,61.89,55.03,9.33,<tr>,<td>,</td>,</tr>,<tr><td>4</td><td>chokurdakh</td><td>0</td><td>RU</td><td>1528905306</td><td>88</td><td>70.62</td><td>147.9</td><td>32.17</td><td>2.95</td></tr>
6,hobart,20,AU,1528902000,87,-42.88,147.33,44.6,8.05,<tr>,<td>,</td>,</tr>,<tr><td>5</td><td>martyush</td><td>92</td><td>RU</td><td>1528905306</td><td>94</td><td>56.4</td><td>61.89</td><td>55.03</td><td>9.33</td></tr>
7,broken hill,0,AU,1528905311,88,-31.97,141.45,44.5,7.31,<tr>,<td>,</td>,</tr>,<tr><td>6</td><td>hobart</td><td>20</td><td>AU</td><td>1528902000</td><td>87</td><td>-42.88</td><td>147.33</td><td>44.6</td><td>8.05</td></tr>
8,harnosand,0,SE,1528903200,44,62.63,17.94,60.8,13.87,<tr>,<td>,</td>,</tr>,<tr><td>7</td><td>broken hill</td><td>0</td><td>AU</td><td>1528905311</td><td>88</td><td>-31.97</td><td>141.45</td><td>44.5</td><td>7.31</td></tr>
9,tuatapere,0,NZ,1528905312,100,-46.13,167.69,38.92,3.4,<tr>,<td>,</td>,</tr>,<tr><td>8</td><td>harnosand</td><td>0</td><td>SE</td><td>1528903200</td><td>44</td><td>62.63</td><td>17.94</td><td>60.8</td><td>13.87</td></tr>
10,puerto ayora,90,EC,1528902000,69,-0.74,-90.35,77,13.87,<tr>,<td>,</td>,</tr>,<tr><td>9</td><td>tuatapere</td><td>0</td><td>NZ</td><td>1528905312</td><td>100</td><td>-46.13</td><td>167.69</td><td>38.92</td><td>3.4</td></tr>
11,havre-saint-pierre,75,CA,1528902000,58,50.23,-63.6,53.6,19.46,<tr>,<td>,</td>,</tr>,<tr><td>10</td><td>puerto ayora</td><td>90</td><td>EC</td><td>1528902000</td><td>69</td><td>-0.74</td><td>-90.35</td><td>77</td><td>13.87</td></tr>
12,punta arenas,0,CL,1528902000,100,-53.16,-70.91,35.6,9.17,<tr>,<td>,</td>,</tr>,<tr><td>11</td><td>havre-saint-pierre</td><td>75</td><td>CA</td><td>1528902000</td><td>58</td><td>50.23</td><td>-63.6</td><td>53.6</td><td>19.46</td></tr>
13,tasiilaq,75,GL,1528901400,60,65.61,-37.64,39.2,2.24,<tr>,<td>,</td>,</tr>,<tr><td>12</td><td>punta arenas</td><td>0</td><td>CL</td><td>1528902000</td><td>100</td><td>-53.16</td><td>-70.91</td><td>35.6</td><td>9.17</td></tr>
14,chapais,40,CA,1528902000,38,49.78,-74.86,59,10.29,<tr>,<td>,</td>,</tr>,<tr><td>13</td><td>tasiilaq</td><td>75</td><td>GL</td><td>1528901400</td><td>60</td><td>65.61</td><td>-37.64</td><td>39.2</td><td>2.24</td></tr>
15,avarua,40,CK,1528902000,56,-21.21,-159.78,73.4,10.29,<tr>,<td>,</td>,</tr>,<tr><td>14</td><td>chapais</td><td>40</td><td>CA</td><td>1528902000</td><td>38</td><td>49.78</td><td>-74.86</td><td>59</td><td>10.29</td></tr>
16,hofn,75,IS,1528902000,87,64.25,-15.21,51.8,8.05,<tr>,<td>,</td>,</tr>,<tr><td>15</td><td>avarua</td><td>40</td><td>CK</td><td>1528902000</td><td>56</td><td>-21.21</td><td>-159.78</td><td>73.4</td><td>10.29</td></tr>
17,yukamenskoye,92,RU,1528905315,98,57.89,52.24,56.65,10.22,<tr>,<td>,</td>,</tr>,<tr><td>16</td><td>hofn</td><td>75</td><td>IS</td><td>1528902000</td><td>87</td><td>64.25</td><td>-15.21</td><td>51.8</td><td>8.05</td></tr>
18,khandbari,80,NP,1528905315,67,27.38,87.21,44.59,1.39,<tr>,<td>,</td>,</tr>,<tr><td>17</td><td>yukamenskoye</td><td>92</td><td>RU</td><td>1528905315</td><td>98</td><td>57.89</td><td>52.24</td><td>56.65</td><td>10.22</td></tr>
19,bethel,1,US,1528901580,93,60.79,-161.76,44.6,8.05,<tr>,<td>,</td>,</tr>,<tr><td>18</td><td>khandbari</td><td>80</td><td>NP</td><td>1528905315</td><td>67</td><td>27.38</td><td>87.21</td><td>44.59</td><td>1.39</td></tr>
20,ushuaia,75,AR,1528902000,64,-54.81,-68.31,41,3.36,<tr>,<td>,</td>,</tr>,<tr><td>19</td><td>bethel</td><td>1</td><td>US</td><td>1528901580</td><td>93</td><td>60.79</td><td>-161.76</td><td>44.6</td><td>8.05</td></tr>
21,east london,0,ZA,1528902000,37,-33.02,27.91,69.8,5.82,<tr>,<td>,</td>,</tr>,<tr><td>20</td><td>ushuaia</td><td>75</td><td>AR</td><td>1528902000</td><td>64</td><td>-54.81</td><td>-68.31</td><td>41</td><td>3.36</td></tr>
22,bluff,76,AU,1528905321,76,-23.58,149.07,61.96,4.74,<tr>,<td>,</td>,</tr>,<tr><td>21</td><td>east london</td><td>0</td><td>ZA</td><td>1528902000</td><td>37</td><td>-33.02</td><td>27.91</td><td>69.8</td><td>5.82</td></tr>
23,mount isa,75,AU,1528902000,100,-20.73,139.49,64.4,3.29,<tr>,<td>,</td>,</tr>,<tr><td>22</td><td>bluff</td><td>76</td><td>AU</td><td>1528905321</td><td>76</td><td>-23.58</td><td>149.07</td><td>61.96</td><td>4.74</td></tr>
24,pevek,0,RU,1528905321,71,69.7,170.27,36.94,6.98,<tr>,<td>,</td>,</tr>,<tr><td>23</td><td>mount isa</td><td>75</td><td>AU</td><td>1528902000</td><td>100</td><td>-20.73</td><td>139.49</td><td>64.4</td><td>3.29</td></tr>
25,gao,24,ML,1528905321,16,16.28,-0.04,110.02,4.97,<tr>,<td>,</td>,</tr>,<tr><td>24</td><td>pevek</td><td>0</td><td>RU</td><td>1528905321</td><td>71</td><td>69.7</td><td>170.27</td><td>36.94</td><td>6.98</td></tr>
26,cabo san lucas,75,MX,1528901160,74,22.89,-109.91,84.2,10.29,<tr>,<td>,</td>,</tr>,<tr><td>25</td><td>gao</td><td>24</td><td>ML</td><td>1528905321</td><td>16</td><td>16.28</td><td>-0.04</td><td>110.02</td><td>4.97</td></tr>
27,sao filipe,0,CV,1528905323,88,14.9,-24.5,75.73,13.02,<tr>,<td>,</td>,</tr>,<tr><td>26</td><td>cabo san lucas</td><td>75</td><td>MX</td><td>1528901160</td><td>74</td><td>22.89</td><td>-109.91</td><td>84.2</td><td>10.29</td></tr>
